time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,action_offload,action_prb,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,s_next8,done
91.0,13,0.054945054945054944,0.6524725274725275,0.0,8.0,80000.0,0.0,0.0,1.0,0.924,1,100,0.0024752475247524753,-3.7692589583333325,0.38334980193433843,1.1081205212164469,0.0,8.0,80000.0,0.0,0.0,1.0,0.894,1
64.0,819,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.986,3,100,0.0024752475247524753,-3.9353,0.3810975246667755,1.1016100322398978,0.0,12.0,120000.0,20000.0,1.0,0.0,0.894,1
100.0,1276,0.25,1.0625,0.0,12.0,120000.0,20000.0,1.0,0.0,0.903,2,57,0.0024752475247524753,9.856416666666666,0.38095238095238093,1.1607142857142858,0.0,12.0,120000.0,20000.0,1.0,0.0,0.895,0
63.0,2169,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.987,3,100,0.0024752475247524753,-3.9354,0.4246885216413249,1.1501980794452549,0.0,12.0,120000.0,0.0,0.0,0.0,0.892,1
85.0,1718,0.0,0.5147058823529411,0.0,12.0,120000.0,0.0,0.0,1.0,0.937,2,100,0.0024752475247524753,-3.8104,0.42452830188679247,1.1497641509433962,0.0,12.0,120000.0,0.0,0.0,1.0,0.892,1
103.0,1727,0.33980582524271846,1.0922330097087378,0.0,12.0,120000.0,0.0,0.0,1.0,0.898,1,100,0.0024752475247524753,9.897933333333334,0.4205607476635514,1.139018691588785,0.0,12.0,120000.0,0.0,0.0,1.0,0.892,0
82.0,1267,0.0,0.41920731707317077,0.0,12.0,120000.0,20000.0,1.0,0.0,0.944,2,100,0.0024752475247524753,-3.9354999999999998,0.4205214072963828,1.1389121447610369,12.5,12.0,120000.0,20000.0,2.0,0.0,0.89,1
93.0,2184,0.10752688172043011,0.6720430107526882,0.0,12.0,120000.0,0.0,0.0,0.0,0.919,2,100,0.0024752475247524753,-3.519250416666666,0.4205214072963828,1.1389121447610369,0.0,12.0,120000.0,0.0,0.0,0.0,0.89,1
95.0,15,0.15789473684210525,0.8223684210526315,0.0,8.0,80000.0,0.0,0.0,1.0,0.913,1,100,0.0024752475247524753,-3.7695589583333327,0.46149581932475603,1.1248960596040927,0.0,8.0,80000.0,0.0,0.0,1.0,0.888,1
65.0,2170,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.985,3,72,0.0024752475247524753,-3.9356,0.4588839520113847,1.1185296330277503,0.0,12.0,120000.0,0.0,0.0,0.0,0.888,1
